episode,raw_return
0,892.1875
1,893.1271
2,865.5172
3,886.3481
4,882.0789
5,863.9640
6,882.5175
7,890.0000
8,875.9450
9,938.1000
10,890.7121
11,855.2239
12,948.3000
13,880.3922
14,857.2954
15,896.5398
16,939.2000
17,893.9940
18,857.1429
19,872.9730
20,859.4595
21,890.1639
22,883.3887
23,870.6840
24,860.6557
25,936.3000
26,886.5772
27,875.9450
28,883.1650
29,893.2203
