episode,raw_return
0,937.0000
1,858.7629
2,923.4000
3,926.8000
4,849.8208
5,893.9940
6,927.1000
7,896.6667
8,893.1271
9,896.4158
10,890.7121
11,937.9000
12,941.1000
13,892.1569
14,926.2000
15,926.4000
16,930.6000
17,848.9489
18,892.8571
19,866.2162
20,866.2162
21,925.7000
22,886.7110
23,924.5000
24,880.3279
25,935.2000
26,889.9329
27,896.5636
28,923.3000
29,879.6610
